variant_name,noise_level,flux_l2_error_mean,flux_l2_error_std,flux_l2_error_count,flux_relative_l2_error_mean,flux_relative_l2_error_std,flux_relative_l2_error_count,flux_rmse_mean,flux_rmse_std,flux_rmse_count,flux_peak_error_mean,flux_peak_error_std,flux_peak_error_count,flux_correlation_mean,flux_correlation_std,flux_correlation_count,replay_rmse_mean,replay_rmse_std,replay_rmse_count,replay_relative_error_mean,replay_relative_error_std,replay_relative_error_count,replay_max_abs_error_mean,replay_max_abs_error_std,replay_max_abs_error_count,success_flag_mean,success_flag_std,success_flag_count,weak_pass_flag_mean,weak_pass_flag_std,weak_pass_flag_count,manual_review_flag_mean,manual_review_flag_std,manual_review_flag_count,failure_flag_mean,failure_flag_std,failure_flag_count
full_agent_baseline,0.5,59305.236856045296,19830.587954005892,10,0.13603809306734077,0.04977920609932245,10,5391.385168731391,1802.7807230914448,10,15922.991597814147,6731.635385540487,10,0.9600832539382829,0.032922862225931555,10,0.5010420700977296,0.003968588795815724,10,0.027319835694756166,0.00349678174820738,10,1.540776149480439,0.13835580263076702,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
full_agent_baseline,1.0,90466.38133484834,34698.12558776661,10,0.21065307068218514,0.09818689052723267,10,8224.216484986213,3154.375053433329,10,20322.65649480285,7188.5438926645165,10,0.9079721514353578,0.08582333688415343,10,0.9662706790902169,0.043699261007771176,10,0.048189565412112764,0.004269694091300032,10,2.999199775569616,0.19810684274024376,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_bounds,0.1,31419.803875162976,13310.861111080407,10,0.07152725319988806,0.02888325489354132,10,2856.345806832998,1210.0782828254914,10,12906.449702062833,10650.599319959572,10,0.9868891867071568,0.009759626232310884,10,0.10061105164301194,0.000822764370631342,10,0.00586387068795702,0.000831496697898303,10,0.31359842196564497,0.04236028696029933,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_bounds,0.5,59305.236856045296,19830.587954005892,10,0.13603809306734077,0.04977920609932245,10,5391.385168731391,1802.7807230914448,10,15922.991597814147,6731.635385540487,10,0.9600832539382829,0.032922862225931555,10,0.5010420700977296,0.003968588795815724,10,0.027319835694756166,0.00349678174820738,10,1.540776149480439,0.13835580263076702,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_bounds,1.0,90466.38133484834,34698.12558776661,10,0.21065307068218514,0.09818689052723267,10,8224.216484986213,3154.375053433329,10,20322.65649480285,7188.5438926645165,10,0.9079721514353578,0.08582333688415343,10,0.9662706790902169,0.043699261007771176,10,0.048189565412112764,0.004269694091300032,10,2.999199775569616,0.19810684274024376,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_replanner,0.1,31419.803875162976,13310.861111080407,10,0.07152725319988806,0.02888325489354132,10,2856.345806832998,1210.0782828254914,10,12906.449702062833,10650.599319959572,10,0.9868891867071568,0.009759626232310884,10,0.10061105164301194,0.000822764370631342,10,0.00586387068795702,0.000831496697898303,10,0.31359842196564497,0.04236028696029933,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_replanner,0.5,59305.236856045296,19830.587954005892,10,0.13603809306734077,0.04977920609932245,10,5391.385168731391,1802.7807230914448,10,15922.991597814147,6731.635385540487,10,0.9600832539382829,0.032922862225931555,10,0.5010420700977296,0.003968588795815724,10,0.027319835694756166,0.00349678174820738,10,1.540776149480439,0.13835580263076702,10,1.0,0.0,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_replanner,1.0,87173.6627400856,28268.74706672202,10,0.2019924459101498,0.07924220921875899,10,7924.878430916872,2569.8860969747284,10,19316.194743808257,5536.848541570807,10,0.9165871562132268,0.08501990788968139,10,0.997486971325548,0.005114338666794694,10,0.04994803223617605,0.0060643532247129294,10,2.9952327945254127,0.20805352180985462,10,0.6,0.5163977794943222,10,0.6,0.5163977794943222,10,0.0,0.0,10,0.4,0.5163977794943222,10
no_verifier,0.1,31419.803875162976,13310.861111080407,10,0.07152725319988806,0.02888325489354132,10,2856.345806832998,1210.0782828254914,10,12906.449702062833,10650.599319959572,10,0.9868891867071568,0.009759626232310884,10,0.10061105164301194,0.000822764370631342,10,0.00586387068795702,0.000831496697898303,10,0.31359842196564497,0.04236028696029933,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_verifier,0.5,59305.236856045296,19830.587954005892,10,0.13603809306734077,0.04977920609932245,10,5391.385168731391,1802.7807230914448,10,15922.991597814147,6731.635385540487,10,0.9600832539382829,0.032922862225931555,10,0.5010420700977296,0.003968588795815724,10,0.027319835694756166,0.00349678174820738,10,1.540776149480439,0.13835580263076702,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
no_verifier,1.0,87173.6627400856,28268.74706672202,10,0.2019924459101498,0.07924220921875899,10,7924.878430916872,2569.8860969747284,10,19316.194743808257,5536.848541570807,10,0.9165871562132268,0.08501990788968139,10,0.997486971325548,0.005114338666794694,10,0.04994803223617605,0.0060643532247129294,10,2.9952327945254127,0.20805352180985462,10,1.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
