variant_name,flux_family,flux_l2_error_mean,flux_l2_error_std,flux_l2_error_count,flux_relative_l2_error_mean,flux_relative_l2_error_std,flux_relative_l2_error_count,flux_rmse_mean,flux_rmse_std,flux_rmse_count,flux_peak_error_mean,flux_peak_error_std,flux_peak_error_count,flux_correlation_mean,flux_correlation_std,flux_correlation_count,replay_rmse_mean,replay_rmse_std,replay_rmse_count,replay_relative_error_mean,replay_relative_error_std,replay_relative_error_count,replay_max_abs_error_mean,replay_max_abs_error_std,replay_max_abs_error_count,success_flag_mean,success_flag_std,success_flag_count,weak_pass_flag_mean,weak_pass_flag_std,weak_pass_flag_count,manual_review_flag_mean,manual_review_flag_std,manual_review_flag_count,failure_flag_mean,failure_flag_std,failure_flag_count
fixed_reg_order_2,multi_pulse,60274.38610907192,26882.817051325455,6,0.15970923556834543,0.07123148717635244,6,5479.489646279265,2443.8924592114045,6,11698.192164564845,3730.8793525290635,6,0.9417982057853465,0.04562097603297433,6,0.5120645253299225,0.3737507409322969,6,0.02921806406789852,0.019818687827728936,6,1.545631635025482,1.1618014065933464,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_2,ramp,12054.69014525585,2092.014264801845,6,0.023677241645148468,0.004109033635535215,6,1095.8809222959862,190.1831149819859,6,2758.6792902522334,724.8071331840732,6,0.9991571950729113,6.399650644318074e-09,6,0.4961341212070521,0.3763050833860176,6,0.021379727488668097,0.015575439624484752,6,1.5424573909855326,1.1665065961084466,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_2,single_pulse,33650.822522413066,15079.54784209531,6,0.08608279665976903,0.0385752725582788,6,3059.1656838557333,1370.8679856450287,6,7723.048883573756,3945.3901870748064,6,0.9872862975361959,0.011145890100042667,6,0.5092081976916663,0.3698451799700986,6,0.030638074474803396,0.020997812558196383,6,1.554439064796668,1.1655930879908987,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_2,smooth_sinusoid,72127.98905655147,33787.00917779251,6,0.15462310090466166,0.07243030337735473,6,6557.089914231951,3071.546288890229,6,21549.57234966789,7158.231665500972,6,0.8641789966237496,0.1154639981736178,6,0.5335714651483395,0.40291782817098437,6,0.027282589111314596,0.019490376015168447,6,1.5584077489698889,1.1621436256911795,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
fixed_reg_order_2,step,83108.61483219062,26539.64018652963,6,0.18028789864221464,0.057572562960062815,6,7555.328621108238,2412.6945624117852,6,29053.88537697129,2462.218700721979,6,0.938487430179781,0.03833000634666877,6,0.5348804246532873,0.40569133172307187,6,0.026001339700344166,0.01864543871397644,6,1.6449472263694436,1.213763582248929,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
full_agent_baseline,multi_pulse,76505.67866009573,53521.6157355049,6,0.2027173438702569,0.1418163980970629,6,6955.061696372338,4865.6014305004455,6,14783.617679603698,11082.697457138147,6,0.9146002433344603,0.10367374675595317,6,0.5077505435757689,0.36870795756530933,6,0.02897984594667058,0.01953828070258808,6,1.5327198143209653,1.1629860562226686,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
full_agent_baseline,ramp,45862.029410344425,22933.454632582438,6,0.09007998875134798,0.04504478676354896,6,4169.275400940402,2084.859512052948,6,13537.891878270728,5080.42070485399,6,0.9924933494101432,0.003999213286664906,6,0.5298997302517938,0.39960082589383256,6,0.022822764944213102,0.016483746190419975,6,1.7217326171378033,1.2878872161400743,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
full_agent_baseline,single_pulse,41454.80652544678,26762.06829028483,6,0.1060463136769771,0.06846054598793337,6,3768.6187750406166,2432.9152991168025,6,9617.999216342194,5393.951888461401,6,0.9803850143108462,0.02883274475471883,6,0.507482134289779,0.36556157973095693,6,0.030545254554438284,0.020763087389672592,6,1.5529041798402357,1.172883225697539,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
full_agent_baseline,smooth_sinusoid,59869.14151958106,26869.951356193647,6,0.12834341330380974,0.05760198300544057,6,5442.649229052823,2442.722850563058,6,15499.544254980674,1894.9587071891692,6,0.9212183719293926,0.062027018124463304,6,0.5335391744323208,0.4020428814103473,6,0.027283245809708336,0.01944387339134833,6,1.584330522912495,1.1842876110454277,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
full_agent_baseline,step,78294.0473279597,21796.70731025071,6,0.16984363531329827,0.047283696957519356,6,7117.640666178156,1981.5188463864292,6,28481.109961935766,2967.4555594580306,6,0.9495440078164866,0.02495173908952894,6,0.5345347521686016,0.4030082008665624,6,0.025991008403012966,0.018522111224144298,6,1.697603444148001,1.230259197797655,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_bounds,multi_pulse,76505.67866009573,53521.6157355049,6,0.2027173438702569,0.1418163980970629,6,6955.061696372338,4865.6014305004455,6,14783.617679603698,11082.697457138147,6,0.9146002433344603,0.10367374675595317,6,0.5077505435757689,0.36870795756530933,6,0.02897984594667058,0.01953828070258808,6,1.5327198143209653,1.1629860562226686,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_bounds,ramp,45862.029410344425,22933.454632582438,6,0.09007998875134798,0.04504478676354896,6,4169.275400940402,2084.859512052948,6,13537.891878270728,5080.42070485399,6,0.9924933494101432,0.003999213286664906,6,0.5298997302517938,0.39960082589383256,6,0.022822764944213102,0.016483746190419975,6,1.7217326171378033,1.2878872161400743,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_bounds,single_pulse,41454.80652544678,26762.06829028483,6,0.1060463136769771,0.06846054598793337,6,3768.6187750406166,2432.9152991168025,6,9617.999216342194,5393.951888461401,6,0.9803850143108462,0.02883274475471883,6,0.507482134289779,0.36556157973095693,6,0.030545254554438284,0.020763087389672592,6,1.5529041798402357,1.172883225697539,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_bounds,smooth_sinusoid,59869.14151958106,26869.951356193647,6,0.12834341330380974,0.05760198300544057,6,5442.649229052823,2442.722850563058,6,15499.544254980674,1894.9587071891692,6,0.9212183719293926,0.062027018124463304,6,0.5335391744323208,0.4020428814103473,6,0.027283245809708336,0.01944387339134833,6,1.584330522912495,1.1842876110454277,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_bounds,step,78294.0473279597,21796.70731025071,6,0.16984363531329827,0.047283696957519356,6,7117.640666178156,1981.5188463864292,6,28481.109961935766,2967.4555594580306,6,0.9495440078164866,0.02495173908952894,6,0.5345347521686016,0.4030082008665624,6,0.025991008403012966,0.018522111224144298,6,1.697603444148001,1.230259197797655,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_replanner,multi_pulse,72184.35576089477,44866.3747331258,6,0.19126712062573523,0.11888257805535671,6,6562.214160081344,4078.761339375072,6,13378.40289846213,8122.519006124869,6,0.9181650707140724,0.0966806446144427,6,0.532127381765673,0.4020844825019127,6,0.03030704581486023,0.02130119371325711,6,1.5226673237050743,1.149683724808426,6,0.6666666666666666,0.5163977794943223,6,0.6666666666666666,0.5163977794943223,6,0.0,0.0,6,0.3333333333333333,0.5163977794943223,6
no_replanner,ramp,45862.029410344425,22933.454632582438,6,0.09007998875134798,0.04504478676354896,6,4169.275400940402,2084.859512052948,6,13537.891878270728,5080.42070485399,6,0.9924933494101432,0.003999213286664906,6,0.5298997302517938,0.39960082589383256,6,0.022822764944213102,0.016483746190419975,6,1.7217326171378033,1.2878872161400743,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.0,0.0,6
no_replanner,single_pulse,40288.26510004315,23552.234846666706,6,0.10306216230143989,0.06024941119458117,6,3662.5695545493777,2141.112258787882,6,9345.777745826104,4691.012972022597,6,0.9911785282276827,0.006798738287502447,6,0.5351324498254265,0.40262643599982456,6,0.0321488327263541,0.02285981699463258,6,1.556345035382454,1.1790463062364662,6,0.6666666666666666,0.5163977794943223,6,0.6666666666666666,0.5163977794943223,6,0.0,0.0,6,0.3333333333333333,0.5163977794943223,6
