case_id,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
case_0003,step,0.5,2,"0.01,0.03",1.0,42,no_verifier,86906.08383058409,0.1885257655259511,7900.553075507645,27267.461871916264,0.9404540287483492,0.5046538638249204,0.0255377957913448,1.648748149209382,54508.59896882281,17100.326650187228,0.0004763529084265,1,0,True,pass,1,0,0,0,1,0,0.0603011427447199,1.529956584998302e-07,1,no_verifier,0.0,pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,fixed_lambda_ablation,255873.85914843515,0.5550683340889638,23261.259922585014,30813.407831475863,0.8507156886914884,2.326478227617467,0.1190782630522291,6.575931367096302,8.929710020311177e-07,2.1616363093671522e-07,4.076701378603705e-26,0,0,True,fail,0,0,0,1,9,8,0.4609872759319842,390625.0,1,fixed_lambda_ablation,-5.609734834327201e-06,fail
case_0004,step,0.5,2,"0.01,0.03",1.0,123,fixed_reg_order_0,95620.64850784087,0.2074303105772272,8692.786227985534,31240.32636821785,0.9286558850005436,0.5011934990540632,0.0256530452819006,1.4453032238453147,121316.60261604626,35186.10854881283,0.0285706324985736,4,0,True,weak_pass,1,1,0,0,1,0,0.0595719888806343,3.6104427520027877e-09,0,fixed_reg_order_0,0.0,weak_pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,fixed_reg_order_2,77449.82069586258,0.168012250615263,7040.892790532961,27258.3799383069,0.9517529506168138,0.500640611309494,0.025624746322768,1.610933328091221,60021.536704899874,20183.058018113086,0.0010714831524683,1,0,True,weak_pass,1,1,0,0,1,0,0.0598786338232457,1.1196592873688165e-07,2,fixed_reg_order_2,0.0,weak_pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,full_agent_baseline,76249.14365706035,0.1654076164180658,6931.740332460033,27552.110907083446,0.9537469380816892,0.5017629649348109,0.0256821927749405,1.6741257409068453,57543.01044553316,19783.676746014484,0.0011518749464866,1,0,True,weak_pass,1,1,0,0,1,0,0.0607151389122009,4.388400196433952e-08,1,full_agent_baseline,0.0,weak_pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,no_bounds,76249.14365706035,0.1654076164180658,6931.740332460033,27552.110907083446,0.9537469380816892,0.5017629649348109,0.0256821927749405,1.6741257409068453,57543.01044553316,19783.676746014484,0.0011518749464866,1,0,True,weak_pass,1,1,0,0,1,0,0.0610330728814005,4.388400196433952e-08,1,no_bounds,0.0,weak_pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,no_replanner,76249.14365706035,0.1654076164180658,6931.740332460033,27552.110907083446,0.9537469380816892,0.5017629649348109,0.0256821927749405,1.6741257409068453,57543.01044553316,19783.676746014484,0.0011518749464866,1,0,True,weak_pass,1,1,0,0,1,0,0.0608745962381362,4.388400196433952e-08,1,no_replanner,0.0,weak_pass
case_0004,step,0.5,2,"0.01,0.03",1.0,123,no_verifier,76249.14365706035,0.1654076164180658,6931.740332460033,27552.110907083446,0.9537469380816892,0.5017629649348109,0.0256821927749405,1.6741257409068453,57543.01044553316,19783.676746014484,0.0011518749464866,1,0,True,pass,1,0,0,0,1,0,0.0611436706967651,4.388400196433952e-08,1,no_verifier,0.0,pass
case_0005,step,1.0,2,"0.01,0.03",1.0,42,fixed_lambda_ablation,256850.1833052665,0.5571862785521723,23350.016664115137,30357.628213651995,0.8502116015121497,2.378297629757228,0.1099639734932707,6.548253514644898,8.684583008289337e-07,2.0963546301702666e-07,3.9097676325122897e-26,0,0,True,fail,0,0,0,1,9,8,0.4599136896431446,390625.0,1,fixed_lambda_ablation,-5.053465669699157e-06,fail
case_0005,step,1.0,2,"0.01,0.03",1.0,42,fixed_reg_order_0,135554.36387101916,0.2940587021385689,12323.12398827447,38299.56089777015,0.8696078451172597,1.019568867457593,0.0471412166891472,4.066348082197976,98919.27671976616,28660.131695567663,0.0126097444952315,0,0,True,weak_pass,1,1,0,0,1,0,0.0599321709014475,1.7199925460644106e-08,0,fixed_reg_order_0,0.0,weak_pass
