family_name,primary_axis_level,primary_axis_value,solver_name,sensor_config,noise_sigma,n_runs,n_success,rmse_flux_mean,rmse_flux_std,rmse_flux_min,rmse_flux_max,ssim_flux_mean,ssim_flux_std,ssim_flux_min,ssim_flux_max,peak_localization_error_mean,peak_localization_error_std,peak_localization_error_min,peak_localization_error_max,band_error_scalar_mean,band_error_scalar_std,band_error_scalar_min,band_error_scalar_max,support_overlap_mean,support_overlap_std,support_overlap_min,support_overlap_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max
gaussian_localized,1,0.15,fast_bayesian,boundary_biased,1.0,1,1,96.0295543703239,0.0,96.0295543703239,96.0295543703239,0.9143733326168483,0.0,0.9143733326168483,0.9143733326168483,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,587.5083913549076,0.0,587.5083913549076,587.5083913549076,0.8,0.0,0.8,0.8,0.0025220150128006935,0.0,0.0025220150128006935,0.0025220150128006935
gaussian_localized,1,0.15,fast_bayesian,clustered,0.1,1,1,151.93366341518296,0.0,151.93366341518296,151.93366341518296,0.7054783683226509,0.0,0.7054783683226509,0.7054783683226509,0.1809802262062124,0.0,0.1809802262062124,0.1809802262062124,56.14233475281696,0.0,56.14233475281696,56.14233475281696,0.64,0.0,0.64,0.64,0.0025271419435739517,0.0,0.0025271419435739517,0.0025271419435739517
gaussian_localized,1,0.15,fast_bayesian,clustered,1.0,1,1,193.36378437582206,0.0,193.36378437582206,193.36378437582206,0.6633204656128332,0.0,0.6633204656128332,0.6633204656128332,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,71.18877684845613,0.0,71.18877684845613,71.18877684845613,0.6341463414634146,0.0,0.6341463414634146,0.6341463414634146,0.002513442188501358,0.0,0.002513442188501358,0.002513442188501358
gaussian_localized,1,0.15,tikhonov_2d,uniform,0.1,1,1,168.4231229485297,0.0,168.4231229485297,168.4231229485297,0.6826250918462905,0.0,0.6826250918462905,0.6826250918462905,0.0,0.0,0.0,0.0,2233.5857075638255,0.0,2233.5857075638255,2233.5857075638255,0.7671232876712328,0.0,0.7671232876712328,0.7671232876712328,0.0013184044510126114,0.0,0.0013184044510126114,0.0013184044510126114
gaussian_localized,1,0.15,tikhonov_2d,uniform,1.0,1,1,105.6001869030224,0.0,105.6001869030224,105.6001869030224,0.9045874077628804,0.0,0.9045874077628804,0.9045874077628804,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,13414.33774667052,0.0,13414.33774667052,13414.33774667052,0.6923076923076923,0.0,0.6923076923076923,0.6923076923076923,0.0012835059314966202,0.0,0.0012835059314966202,0.0012835059314966202
gaussian_localized,1,0.15,tikhonov_2d,boundary_biased,0.1,1,1,167.25404047649945,0.0,167.25404047649945,167.25404047649945,0.6952537909547166,0.0,0.6952537909547166,0.6952537909547166,0.0,0.0,0.0,0.0,2326.230099488227,0.0,2326.230099488227,2326.230099488227,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0012870607897639275,0.0,0.0012870607897639275,0.0012870607897639275
gaussian_localized,1,0.15,tikhonov_2d,boundary_biased,1.0,1,1,103.69206579654502,0.0,103.69206579654502,103.69206579654502,0.8994937379326521,0.0,0.8994937379326521,0.8994937379326521,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,18349.86988187003,0.0,18349.86988187003,18349.86988187003,0.6842105263157895,0.0,0.6842105263157895,0.6842105263157895,0.0013671452179551125,0.0,0.0013671452179551125,0.0013671452179551125
gaussian_localized,1,0.15,tikhonov_2d,clustered,0.1,1,1,247.70536152324283,0.0,247.70536152324283,247.70536152324283,0.04025924344117281,0.0,0.04025924344117281,0.04025924344117281,0.617417471072277,0.0,0.617417471072277,0.617417471072277,451.45602579444784,0.0,451.45602579444784,451.45602579444784,0.5185185185185185,0.0,0.5185185185185185,0.5185185185185185,0.0013307705521583557,0.0,0.0013307705521583557,0.0013307705521583557
gaussian_localized,1,0.15,tikhonov_2d,clustered,1.0,1,1,267.69071072394,0.0,267.69071072394,267.69071072394,0.4028001714578027,0.0,0.4028001714578027,0.4028001714578027,0.1809802262062124,0.0,0.1809802262062124,0.1809802262062124,104684.4977225436,0.0,104684.4977225436,104684.4977225436,0.5652173913043478,0.0,0.5652173913043478,0.5652173913043478,0.0013180915266275406,0.0,0.0013180915266275406,0.0013180915266275406
gaussian_localized,1,0.15,tsvd_2d,uniform,0.1,1,1,83.85850692539249,0.0,83.85850692539249,83.85850692539249,0.931043207332231,0.0,0.931043207332231,0.931043207332231,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,639.1208348057432,0.0,639.1208348057432,639.1208348057432,0.8615384615384616,0.0,0.8615384615384616,0.8615384615384616,0.003734060563147068,0.0,0.003734060563147068,0.003734060563147068
